Description,emotion,movie_name,all_movie_names,movie_name_count,genres,mean_rating,median_rating,minimum_rating,maximum_rating,review_count,unique_review_count,genre_list,genre_count,genres_text,description_word_count,description_character_count,log_review_count,log_unique_review_count
"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",anger,10 Things I Hate About You,10 Things I Hate About You,1,"['Comedy', 'Romance', 'Drama']",6.428571428571429,7.0,2.0,10.0,14,14,"['Comedy', 'Romance', 'Drama']",3,comedy romance drama,16,91,2.70805020110221,2.70805020110221
"A fast paced, womanizing nightclub promoter gets paid back in full when he scorns a beautiful woman with psychotic tendencies who will punish him for breaking her heart.",anger,A Thin Line Between Love and Hate,A Thin Line Between Love and Hate,1,"['Comedy', 'Thriller', 'Crime', 'Romance']",4.0,4.0,4.0,4.0,1,1,"['Comedy', 'Thriller', 'Crime', 'Romance']",4,comedy thriller crime romance,28,169,0.6931471805599453,0.6931471805599453
"A cynical, immature young man is taught how to act like a grown-up by a little boy.",anger,About a Boy,About a Boy,1,"['Drama', 'Comedy', 'Romance']",6.352941176470588,7.0,2.0,10.0,17,17,"['Drama', 'Comedy', 'Romance']",3,drama comedy romance,17,83,2.8903717578961645,2.8903717578961645
God casts Adam and Eve out of the Garden of Eden because Eve decided to eat a forbidden apple that a talking snake told her to eat. The disgraced couple find themselves battling a coterie of various creatures.,anger,Adam and Eve,Adam and Eve,1,"['Comedy', 'Romance']",5.7272727272727275,5.0,2.0,9.0,22,11,"['Comedy', 'Romance']",2,comedy romance,38,209,3.1354942159291497,2.4849066497880004
"The spirit of a comatose teenage girl possesses the body of a newcomer to her girls boarding school to enact bloody revenge against the elitist, lingerie-clad coeds responsible for her condition.",anger,Aenigma,Aenigma,1,['Horror'],4.8,4.5,2.0,7.0,20,20,['Horror'],1,horror,31,195,3.044522437723423,3.044522437723423
"4 LA women, 3 married, go to a Palm Springs resort together for a weekend of flirting etc. Consequences?",anger,After Sex,After Sex,1,['Comedy'],6.0,6.0,6.0,6.0,1,1,['Comedy'],1,comedy,19,104,0.6931471805599453,0.6931471805599453
Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,anger,Andaz Apna Apna,Andaz Apna Apna,1,"['Comedy', 'Drama', 'Romance']",4.9,4.0,2.0,9.0,10,10,"['Comedy', 'Drama', 'Romance']",3,comedy drama romance,17,114,2.3978952727983707,2.3978952727983707
Bob refuses to marry his girlfriend and leaves her. She marries his close friend out of revenge.,anger,Arizona,Arizona,1,['Western'],3.8,4.0,3.0,5.0,5,5,['Western'],1,western,17,96,1.791759469228055,1.791759469228055
A drunken playboy stands to lose a wealthy inheritance when he falls for a woman his family doesn't like.,anger,Arthur,Arthur,1,"['Comedy', 'Drama', 'Romance']",5.0,4.5,2.0,10.0,36,18,"['Comedy', 'Drama', 'Romance']",3,comedy drama romance,19,105,3.6109179126442243,2.9444389791664403
"A woman who has just discovered she is the daughter of a murdered Mafia chieftain seeks revenge, with the aide of her father's faithful bodyguard.",anger,Avenging Angelo,Avenging Angelo,1,"['Action', 'Comedy', 'Crime']",5.222222222222222,5.0,3.0,9.0,9,9,"['Action', 'Comedy', 'Crime']",3,action comedy crime,25,146,2.302585092994046,2.302585092994046
A martial arts student seeks revenge after the murder of his master.,anger,Baaghi,Baaghi,1,"['Action', 'Romance', 'Thriller']",4.9,5.0,3.0,6.0,10,10,"['Action', 'Romance', 'Thriller']",3,action romance thriller,12,68,2.3978952727983707,2.3978952727983707
"An ugly and ruthless money lender goes out to recoup his investment, but returns home with an unwilling maiden as payment.",anger,Beauty and the Beast,Beauty and the Beast,1,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']",2.764705882352941,2.0,1.0,8.0,136,17,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']",5,romance family animation fantasy music,21,122,4.919980925828125,2.8903717578961645
A meddling mother tries to set her daughter up with the right man so her kid won't follow in her footsteps.,anger,Because I Said So,Because I Said So,1,['Comedy'],6.125,6.0,2.0,10.0,16,16,['Comedy'],1,comedy,21,107,2.833213344056216,2.833213344056216
"A boxer's manager pays a prostitute to make his boxer's nights hot, and endless. Not so strange, considering all the dirty deals the manager has with the local mafia. The strong champion ...                See full summary »",anger,Below the Belt,Below the Belt,1,['Drama'],4.5,3.5,2.0,9.0,4,4,['Drama'],1,drama,37,224,1.6094379124341003,1.6094379124341003
"Blackout is a movie agitating strongly about the ERRATIC POWER SUPPLY IN AFRICA/NIGERIA For many years, life has been disrupted for the majority of Nigerians who rely on NEPA ""PHCN"" for their DAILY electricity.",anger,Blackout,Blackout,1,"['Thriller', 'Mystery']",5.125,5.0,2.0,9.0,80,16,"['Thriller', 'Mystery']",2,thriller mystery,34,210,4.394449154672439,2.833213344056216
"Bill Bailey (George Bancroft) is a Los Angeles, California bail bondsman who lives in a world of complete, casual corruption, where all he has to do is pick up the phone to get the charges ...                See full summary »",anger,Blood Money,Blood Money,1,"['Action', 'Thriller', 'Foreign']",6.0,6.0,3.0,9.0,2,2,"['Action', 'Thriller', 'Foreign']",3,action thriller foreign,40,226,1.0986122886681098,1.0986122886681098
"The tough and cold mercenary Warchild, is working for the man who took care of his war training and upbringing, the greedy General Ruechang. Ruechang is planning to take over the country by...                See full summary »",anger,Bridge of Dragons,Bridge of Dragons,1,"['Action', 'Science Fiction', 'Thriller']",5.083333333333333,5.0,2.0,9.0,12,12,"['Action', 'Science Fiction', 'Thriller']",3,action science_fiction thriller,37,226,2.5649493574615367,2.5649493574615367
Tom Jeffords tries to make peace between settlers and Apaches in Arizona territory.,anger,Broken Arrow,Broken Arrow,1,"['Action', 'Adventure', 'Drama', 'Thriller']",7.764705882352941,8.0,3.0,10.0,34,17,"['Action', 'Adventure', 'Drama', 'Thriller']",4,action adventure drama thriller,13,83,3.5553480614894135,2.8903717578961645
"Buck Wild is living life as it comes. However, when he gets fired and kicked out of his apartment, he's forced to ask a favor from his ex-wife Tracy Duff. He needs to sleep on her lawn in ...                See full summary »",anger,Buck Wild,Buck Wild,1,"['Comedy', 'Horror']",4.0,4.0,4.0,4.0,3,3,"['Comedy', 'Horror']",2,comedy horror,43,225,1.3862943611198906,1.3862943611198906
